iter	Passed	Remaining
877	22177	3081
878	22205	3056
879	22229	3031
880	22255	3006
881	22279	2980
882	22305	2955
883	22328	2929
884	22351	2904
885	22374	2878
886	22399	2853
887	22429	2828
888	22453	2803
889	22478	2778
890	22503	2752
891	22527	2727
892	22551	2702
893	22574	2676
894	22599	2651
895	22627	2626
896	22651	2601
897	22674	2575
898	22695	2549
899	22716	2524
900	22735	2498
901	22761	2472
902	22780	2447
903	22803	2421
904	22822	2395
905	22842	2369
906	22873	2345
907	22894	2319
908	22913	2293
909	22932	2268
910	22963	2243
911	22982	2217
912	23008	2192
913	23031	2167
914	23058	2142
915	23083	2116
916	23109	2091
917	23130	2066
918	23155	2040
919	23182	2015
920	23210	1990
921	23233	1965
922	23258	1940
923	23280	1914
924	23307	1889
925	23330	1864
926	23355	1839
927	23378	1813
928	23406	1788
929	23428	1763
930	23453	1738
931	23477	1712
932	23514	1688
933	23545	1663
934	23575	1638
935	23599	1613
936	23620	1588
937	23641	1562
938	23660	1537
939	23680	1511
940	23703	1486
941	23736	1461
942	23756	1435
943	23777	1410
944	23807	1385
945	23846	1361
946	23871	1336
947	23898	1310
948	23922	1285
949	23950	1260
950	23976	1235
951	24001	1210
952	24024	1184
953	24052	1159
954	24078	1134
955	24106	1109
956	24135	1084
957	24161	1059
958	24191	1034
959	24217	1009
960	24242	983
961	24268	958
962	24299	933
963	24325	908
964	24351	883
965	24376	857
966	24400	832
967	24420	807
968	24440	781
969	24460	756
970	24480	731
971	24512	706
972	24533	680
973	24551	655
974	24569	629
975	24596	604
976	24623	579
977	24649	554
978	24673	529
979	24699	504
980	24725	478
981	24753	453
982	24781	428
983	24808	403
984	24840	378
985	24864	353
986	24892	327
987	24918	302
988	24945	277
989	24969	252
990	24996	227
991	25020	201
992	25052	176
993	25079	151
994	25106	126
995	25128	100
996	25147	75
997	25171	50
998	25196	25
999	25218	0
